"time";"M";"lac_1";"mu_1";"K_1";"gam_1";"laa_1";"x_s";"x_nonend";"shift_times";"lac_2";"mu_2";"K_2";"gam_2";"laa_2"
2,55;1000;0,5;0,5;Inf;0,01;1;0,01;0,1;c(1.225, 1.325);0,25;0,25;Inf;0,02;0
2,55;1000;1;0,5;Inf;0,01;1;0,01;0,1;c(1.225, 1.325);0,5;0,25;Inf;0,02;0
2,55;1000;0,5;1;Inf;0,01;1;0,01;0,1;c(1.225, 1.325);0,25;0,5;Inf;0,02;0
2,55;1000;1;1;Inf;0,01;1;0,01;0,1;c(1.225, 1.325);0,5;0,5;Inf;0,02;0
2,55;1000;0,5;0,5;Inf;0,05;1;0,01;0,1;c(1.225, 1.325);0,25;0,25;Inf;0,1;0
2,55;1000;1;0,5;Inf;0,05;1;0,01;0,1;c(1.225, 1.325);0,5;0,25;Inf;0,1;0
2,55;1000;0,5;1;Inf;0,05;1;0,01;0,1;c(1.225, 1.325);0,25;0,5;Inf;0,1;0
2,55;1000;1;1;Inf;0,05;1;0,01;0,1;c(1.225, 1.325);0,5;0,5;Inf;0,1;0
2,55;1000;0,5;0,5;Inf;0,01;1;0,05;0,1;c(1.225, 1.325);0,25;0,25;Inf;0,02;0
2,55;1000;1;0,5;Inf;0,01;1;0,05;0,1;c(1.225, 1.325);0,5;0,25;Inf;0,02;0
2,55;1000;0,5;1;Inf;0,01;1;0,05;0,1;c(1.225, 1.325);0,25;0,5;Inf;0,02;0
