"time";"M";"M2";"lac";"mu";"gam";"laa";"trans";"trans2";"K";"lac2";"mu2";"gam2";"laa2"
2,5;500;500;0,25;0,4;0,01;0,25;0,5;0,5;40;0,75;1,2;0,03;0,75
5;500;500;0,25;0,4;0,01;0,25;0,5;0,5;40;0,75;1,2;0,03;0,75
2,5;500;500;0,5;0,4;0,01;0,25;0,5;0,5;40;0,5;1,2;0,03;0,75
5;500;500;0,5;0,4;0,01;0,25;0,5;0,5;40;0,5;1,2;0,03;0,75
2,5;500;500;0,25;0,8;0,01;0,25;0,5;0,5;40;0,75;0,8;0,03;0,75
5;500;500;0,25;0,8;0,01;0,25;0,5;0,5;40;0,75;0,8;0,03;0,75
2,5;500;500;0,5;0,8;0,01;0,25;0,5;0,5;40;0,5;0,8;0,03;0,75
5;500;500;0,5;0,8;0,01;0,25;0,5;0,5;40;0,5;0,8;0,03;0,75
2,5;500;500;0,25;1,2;0,01;0,25;0,5;0,5;40;0,75;0,4;0,03;0,75
5;500;500;0,25;1,2;0,01;0,25;0,5;0,5;40;0,75;0,4;0,03;0,75
2,5;500;500;0,5;1,2;0,01;0,25;0,5;0,5;40;0,5;0,4;0,03;0,75
5;500;500;0,5;1,2;0,01;0,25;0,5;0,5;40;0,5;0,4;0,03;0,75
2,5;500;500;0,25;0,4;0,02;0,25;0,5;0,5;40;0,75;1,2;0,02;0,75
5;500;500;0,25;0,4;0,02;0,25;0,5;0,5;40;0,75;1,2;0,02;0,75
2,5;500;500;0,5;0,4;0,02;0,25;0,5;0,5;40;0,5;1,2;0,02;0,75
5;500;500;0,5;0,4;0,02;0,25;0,5;0,5;40;0,5;1,2;0,02;0,75
